domain,subject_id,session_id,run_id,task,chunk_start,chunk_end,chunk_path,csv_mean_fd,csv_max_fd,par_fd_mean,par_fd_max,par_fd_std,shape,voxel_size,has_nan,has_inf,intensity_min,intensity_max,intensity_mean,dvars_mean,dvars_max,tsnr_mean,tsnr_median,gs_mean,gs_std,n_vols,load_error,split,qc_flags
motion_free,ICC111,1,3,videos,447,466,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC111_ses-1_task-videos_run-003_chunk-447-466.nii.gz,0.096088,0.175078,0.0983446684210526,0.17507829999999994,0.04138065764577572,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,466.639892578125,33.42043685913086,0.8787593841552734,0.9956052303314209,187.53749084472656,167.0828857421875,33.42044448852539,0.08326126635074615,20.0,,train,load_error:nan
motion_free,ICC113,1,2,videos,134,153,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC113_ses-1_task-videos_run-002_chunk-134-153.nii.gz,0.16412,0.249975,0.16511303842105263,0.24997464999999996,0.06129767492926046,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,489.0,33.50886535644531,1.3098421096801758,1.4847885370254517,134.8625030517578,128.97824096679688,33.5089225769043,0.06352744251489639,20.0,,train,load_error:nan
motion_free,ICC117,1,2,videos,137,156,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC117_ses-1_task-videos_run-002_chunk-137-156.nii.gz,0.104914,0.201401,0.10334078500000002,0.20140122500000004,0.046918298878897466,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,612.216064453125,37.30165481567383,1.267914891242981,1.3426072597503662,168.7415313720703,153.45668029785156,37.301612854003906,0.04081033915281296,20.0,,train,load_error:nan
motion_free,ICC117,1,2,videos,216,235,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC117_ses-1_task-videos_run-002_chunk-216-235.nii.gz,0.125482,0.224842,0.12861531631578949,0.22484169999999998,0.04670082940553414,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,610.9095458984375,37.20838165283203,1.268137812614441,1.4280462265014648,157.7145538330078,148.17135620117188,37.208396911621094,0.05399516597390175,20.0,,train,load_error:nan
motion_free,ICC125,2,1,videos,236,255,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC125_ses-2_task-videos_run-001_chunk-236-255.nii.gz,0.090599,0.148707,0.0882928342105263,0.1487073,0.03031935373814781,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,417.27471923828125,31.46245574951172,1.0630251169204712,1.1430308818817139,151.86239624023438,136.2589111328125,31.46246337890625,0.0412682443857193,20.0,,train,load_error:nan
motion_free,ICC125,2,1,videos,311,330,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC125_ses-2_task-videos_run-001_chunk-311-330.nii.gz,0.074853,0.144608,0.07295547757894735,0.1446077,0.03897740735522322,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,412.4377136230469,31.456317901611328,1.0273723602294922,1.1161134243011475,145.346435546875,132.84173583984375,31.45633316040039,0.057527292519807816,20.0,,train,load_error:nan
motion_free,ICC133,1,2,videos,309,328,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC133_ses-1_task-videos_run-002_chunk-309-328.nii.gz,0.155591,0.249527,0.15784923052631578,0.24952688000000003,0.04707448628434747,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,448.1525573730469,32.6948356628418,1.2262287139892578,1.3934171199798584,146.0806884765625,136.5640869140625,32.6948356628418,0.048454947769641876,20.0,,train,load_error:nan
motion_free,ICC145,1,2,videos,189,208,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC145_ses-1_task-videos_run-002_chunk-189-208.nii.gz,0.109305,0.202612,0.11085710631578945,0.20261164,0.04086564551011093,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,498.6016540527344,33.71401596069336,1.1342287063598633,1.27889883518219,165.04107666015625,153.67251586914062,33.71405792236328,0.023782135918736458,20.0,,train,load_error:nan
motion_free,ICC145,1,2,videos,209,228,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC145_ses-1_task-videos_run-002_chunk-209-228.nii.gz,0.095661,0.158381,0.09714195731578949,0.15838077,0.0243495394539913,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,495.4790954589844,33.74435043334961,1.13262140750885,1.2499892711639404,172.8545379638672,158.8548126220703,33.74437713623047,0.029642052948474884,20.0,,train,load_error:nan
motion_free,ICC145,1,2,videos,267,286,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC145_ses-1_task-videos_run-002_chunk-267-286.nii.gz,0.097228,0.176087,0.0974470945263158,0.17608708,0.044802561290811976,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,498.1520080566406,33.7242317199707,1.1591094732284546,1.3512588739395142,158.38754272460938,148.81393432617188,33.724266052246094,0.03132927417755127,20.0,,train,load_error:nan
motion_free,ICC145,1,2,videos,379,398,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC145_ses-1_task-videos_run-002_chunk-379-398.nii.gz,0.088676,0.145785,0.08916849736842104,0.14578534999999998,0.03018279016587917,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,484.3617248535156,33.73887252807617,1.0583363771438599,1.1775898933410645,181.72549438476562,165.91067504882812,33.738895416259766,0.03022983856499195,20.0,,train,load_error:nan
motion_free,ICC145,1,2,videos,462,481,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/cyclegans_dataset/train/B_motion_free/sub-ICC145_ses-1_task-videos_run-002_chunk-462-481.nii.gz,0.107766,0.187474,0.1056694631578947,0.18747399999999986,0.045341864539032904,"(97, 116, 79, 20)","[2.0, 2.0, 2.0]",False,False,0.0,465.6001281738281,33.72269821166992,0.8316590785980225,0.89649897813797,204.29742431640625,183.90249633789062,33.722679138183594,0.045737795531749725,20.0,,train,load_error:nan
